S_No,Bill_Code,Customers,Tax,Discount,Subtotal,Total_Item,Total_Bill,Payment_Type,Cash_Paid,Cash_Change,Credit_Card_Holder,Credit_Card_Number,Cheque_Number,Created_At
34,00034,"Walk In Customer",17.0%,10.0%,"12,000.00",1.00,12840,Cash,12840,,,,,"2020-11-24 14:43:41"
35,00035,"Walk In Customer",17.0%,10.0%,"12,700.00",3.00,13589,Cash,13589,,,,,"2020-11-24 16:01:04"
36,00036,"Walk In Customer",17.0%,10.0%,"12,250.00",2.00,13107.5,Cash,13107.5,,,,,"2020-11-24 16:01:39"
37,00037,"Walk In Customer",17.0%,10.0%,"12,900.00",3.00,13803,Cash,13803,,,,,"2020-11-24 17:23:23"
38,00038,"Walk In Customer",17.0%,10.0%,900.00,2.00,963,Cash,963,,,,,"2020-11-24 17:24:14"
39,00039,"Walk In Customer",17.0%,10.0%,450.00,1.00,481.5,Cash,481.5,,,,,"2020-11-24 17:26:01"
40,00040,"Walk In Customer",17.0%,10.0%,"13,650.00",3.00,14605.5,Cash,14605.5,,,,,"2020-11-24 17:43:03"
41,00041,"Walk In Customer",17.0%,10.0%,"12,450.00",2.00,13321.5,Cash,13321.5,,,,,"2020-11-24 17:43:44"
42,00042,"Walk In Customer",17.0%,10.0%,"12,900.00",3.00,13803,Cash,13803,,,,,"2020-11-24 17:54:36"
43,00047,"Walk In Customer",17.0%,10.0%,334.70,3.00,358.129,Cash,358.129,,,,,"2020-11-30 16:01:23"
44,00047,"Walk In Customer",17.0%,10.0%,690.00,1.00,738.3,Cash,738.3,,,,,"2020-11-30 16:03:09"
45,00047,"Walk In Customer",0.0%,0.0%,"14,940.90",8.00,14940.9,Cash,20,-14920.9,,,,"2020-11-30 17:05:15"
46,00047,"Walk In Customer",17.0%,10.0%,"14,940.90",8.00,15986.763,Cash,20000,4013.24,,,,"2020-11-30 17:09:29"
